project_id,ngo_id,staff_id,name,description,start_date,end_date,budget
178,4,310,School Renovation Campaign Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-03-22,2020-12-22,80892659
179,8,217,TB Prevention Program Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2024-11-18,2025-07-18,49491700
180,6,300,Sustainable Tourism Development Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-04-15,2021-05-15,47131621
181,7,263,Renewable Energy Research Phase 3,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-01-04,2025-08-04,94956714
182,5,243,Library Modernization Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2020-08-26,2022-04-26,2330039
183,8,354,Palliative Care Expansion Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-03-05,2021-04-05,43650296
184,3,166,Digital Literacy Training Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-12-24,2020-08-24,6013351
185,9,282,Voter Education Campaign Phase 3,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-10-01,2026-06-01,58855888
186,1,11,Library Modernization Phase 3,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2020-12-03,2022-04-03,99679159
187,12,378,Immigration Support Phase 3,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2022-07-25,2023-04-25,85498688
188,16,159,Cultural Heritage Preservation Phase 3,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2018-08-10,2019-06-10,71559946
189,16,389,Public Health Screening Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2019-05-04,2021-06-04,78639841
190,20,319,Neighborhood Safety Phase 3,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-05-07,2026-07-07,34956007
191,2,112,Palliative Care Expansion Phase 3,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2022-07-22,2025-09-22,43926060
192,13,255,Agricultural Technology Training Phase 3,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2020-03-07,2020-09-07,4965038
193,13,219,Library Modernization Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-08-19,2026-11-19,97326960
194,3,159,Crisis Intervention Phase 3,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2019-08-05,2023-01-05,25763307
195,8,275,Music Education for Children Phase 3,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2023-03-20,2023-12-20,44792054
196,14,31,Malaria Prevention Phase 3,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2018-07-11,2020-09-11,40335286
197,8,330,Disaster Preparedness Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2023-07-06,2025-03-06,39871568
198,2,394,Crisis Intervention Phase 3,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-04-19,2021-01-19,64432357
199,8,186,Climate Change Adaptation Phase 3,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2021-03-02,2024-07-02,34815504
200,11,394,Digital Literacy Training Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2018-02-03,2021-04-03,35966361
201,14,154,Solar Panel Distribution Phase 4,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-07-20,2022-09-20,69877749
202,6,255,Legal Aid Services Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-08-19,2023-01-19,71952377
203,18,359,School Renovation Campaign Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2022-01-23,2024-09-23,36175991
204,15,183,Child Nutrition Enhancement Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2018-03-09,2021-01-09,3707327
205,18,388,Rural Healthcare Expansion Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2018-12-28,2021-06-28,85702518
206,3,15,Digital Literacy Training Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2020-08-28,2023-12-28,55419676
207,6,52,Child Protection Services Phase 4,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-03-20,2025-06-20,28248225
208,13,345,Transparency Initiative Phase 4,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-11-14,2028-02-14,57706320
209,14,177,Library Modernization Phase 4,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2019-06-10,2020-11-10,4866660
210,17,304,Disability Support Services Phase 4,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-02-24,2020-11-24,83008825
211,20,252,Digital Literacy Training Phase 4,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2022-07-20,2024-12-20,79778741
212,18,261,Urban Agriculture Phase 4,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2021-05-18,2022-04-18,24929665
213,3,194,Library Modernization Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2021-07-12,2023-01-12,80328571
214,17,195,Women's Economic Empowerment Phase 4,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2019-07-26,2022-06-26,26603034
215,10,277,Rural Healthcare Expansion Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-04-14,2026-07-14,10079237
216,5,90,Digital Literacy Training Phase 4,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-08-01,2022-12-01,51732780
217,1,235,School Renovation Campaign Phase 4,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2021-11-11,2022-09-11,86793111
218,17,311,Mental Health Awareness Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2018-12-12,2021-01-12,71521020
219,7,34,Agricultural Technology Training Phase 4,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2020-02-24,2023-07-24,92680652
220,14,68,Transparency Initiative Phase 4,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2022-05-13,2024-04-13,84418903
221,19,73,Solar Panel Distribution Phase 4,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2021-07-28,2024-11-28,57483248
222,4,138,Climate Change Adaptation Phase 4,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2023-01-11,2024-07-11,94090633
223,1,82,Mental Health Awareness Phase 4,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-01-22,2020-11-22,64376417
224,14,349,Palliative Care Expansion Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2019-04-24,2020-01-24,88400820
225,20,399,School Renovation Campaign Phase 4,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2023-03-28,2026-04-28,30014037
226,4,278,Solar Panel Distribution Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-08-12,2025-06-12,28903251
227,12,284,Cultural Heritage Preservation Phase 4,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-07-19,2023-07-19,18456182
228,9,316,Microfinance for Entrepreneurs Phase 4,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2019-06-27,2020-01-27,31734066
229,1,334,Digital Literacy Training Phase 4,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2023-09-14,2025-12-14,11957467
230,16,293,Vocational Skills Training Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2021-05-10,2024-05-10,80783867
231,3,220,Trade Skills Development Phase 4,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2019-09-10,2021-09-10,20922234
232,4,139,Renewable Energy Research Phase 4,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-06-22,2020-09-22,98036425
233,12,136,Child Protection Services Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-03-27,2023-09-27,86073597
234,10,301,Housing for Homeless Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-05-06,2021-05-06,99428278
235,10,57,Climate Change Adaptation Phase 4,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2021-10-10,2023-08-10,81233586
236,13,100,Library Modernization Phase 4,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-03-05,2020-08-05,55369533
237,2,164,Food Security Enhancement Phase 4,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-07-10,2024-12-10,67224716
238,10,259,Financial Literacy Training Phase 4,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2022-07-09,2023-07-09,82860516
239,8,131,Anti-Corruption Advocacy Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-07-09,2026-08-09,88122410
240,3,54,Neighborhood Safety Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2021-06-20,2024-10-20,91028266
241,10,88,Gender Equality Advocacy Phase 4,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2021-12-22,2025-02-22,32349350
242,11,4,Clean Water Access Initiative Phase 4,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2019-03-18,2021-02-18,77109762
243,14,382,Women's Economic Empowerment Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-04-13,2022-11-13,77475266
244,18,106,Rural Healthcare Expansion Phase 4,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2022-04-18,2023-11-18,36882502
245,20,77,Disaster Preparedness Phase 4,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-07-08,2021-09-08,63989098
246,19,21,Blood Donation Campaign Phase 4,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2024-01-21,2025-06-21,7763485
247,19,34,Maternal Health Improvement Phase 4,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2023-04-13,2026-04-13,5194011
248,11,154,Housing for Homeless Phase 4,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2023-09-22,2025-07-22,27708399
249,4,356,Animal Shelter Expansion Phase 4,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2021-06-14,2024-08-14,98877827
250,8,301,Urban Agriculture Phase 5,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2022-01-14,2023-05-14,76251135
251,3,206,Microfinance for Entrepreneurs Phase 5,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2021-11-20,2024-10-20,73041585
252,9,93,Mental Health Awareness Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-11-20,2021-10-20,26149322
253,1,64,Agricultural Technology Training Phase 5,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2022-01-10,2023-03-10,4125051
254,18,121,Reforestation Campaign Phase 5,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-03-09,2021-08-09,48245211
255,3,72,Animal Shelter Expansion Phase 5,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-02-12,2021-05-12,9538641
256,14,397,Neighborhood Safety Phase 5,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-08-06,2021-12-06,32112788
257,19,186,Elderly Care Services Phase 5,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2022-06-21,2025-03-21,92010275
258,2,86,Maternal Health Improvement Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-01-27,2025-12-27,12399843
259,16,282,Sustainable Tourism Development Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2023-01-17,2023-12-17,10352433
260,17,11,Scholarship Program Phase 5,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-07-17,2027-02-17,60921146
261,4,9,Voter Education Campaign Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2019-05-23,2022-02-23,11439271
262,18,42,Immigration Support Phase 5,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2022-03-15,2024-09-15,62510332
263,8,271,Child Nutrition Enhancement Phase 5,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2022-09-04,2023-10-04,86839543
264,12,221,Climate Change Adaptation Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2020-12-06,2024-02-06,71571631
265,16,256,Public Health Screening Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-07-27,2022-07-27,56558748
266,1,65,Animal Shelter Expansion Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-12-27,2027-08-27,39773668
267,3,17,Mental Health Awareness Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2021-11-09,2023-07-09,63212468
268,8,262,Climate Change Adaptation Phase 5,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2022-11-21,2024-04-21,68253836
269,14,390,Transparency Initiative Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2018-02-17,2019-09-17,38227314
270,11,27,Music Education for Children Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2018-07-10,2020-08-10,26171197
271,6,264,Disaster Preparedness Phase 5,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-07-07,2026-01-07,95098996
272,12,387,Legal Aid Services Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-06-24,2023-02-24,82182205
273,2,233,Housing for Homeless Phase 5,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2022-11-17,2025-07-17,45951434
274,11,396,Environmental Conservation Phase 5,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-07-04,2022-01-04,50532858
275,8,208,Women's Economic Empowerment Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-01-27,2020-02-27,52688339
276,8,242,Malaria Prevention Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2023-03-10,2024-05-10,67898669
277,13,281,Immigration Support Phase 5,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2022-08-07,2025-05-07,56296547
278,3,19,Clean Water Access Initiative Phase 5,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2024-10-12,2027-12-12,43003092
279,1,385,Renewable Energy Research Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2020-06-15,2022-04-15,55516338
280,4,63,Legal Aid Services Phase 5,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2023-09-09,2026-01-09,83757660
281,10,58,Public Health Screening Phase 5,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-03-07,2019-02-07,14378895
282,8,384,Emergency Relief Response Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-06-25,2020-12-25,57916440
283,12,254,Solar Energy Installation Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-09-18,2021-08-18,91324900
284,13,317,Crisis Intervention Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-12-14,2026-02-14,7749059
285,12,177,Elderly Care Services Phase 5,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-05-15,2027-10-15,66565547
286,13,144,Food Security Enhancement Phase 5,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-02-24,2020-01-24,4184139
287,13,161,Sports for Youth Phase 5,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2018-12-15,2020-05-15,48414999
288,5,100,Environmental Conservation Phase 5,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2020-07-04,2022-05-04,86936184
289,1,28,Public Health Screening Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-05-24,2023-01-24,59343960
290,17,379,Library Modernization Phase 5,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-09-10,2020-05-10,84323607
291,1,174,Immigration Support Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-01-15,2026-05-15,15672550
292,1,373,Library Modernization Phase 5,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2021-09-28,2023-04-28,18382917
293,12,272,Public Health Screening Phase 5,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2022-02-15,2024-03-15,29594644
294,13,189,Housing for Homeless Phase 5,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2021-03-08,2024-04-08,85086514
295,10,307,Immigration Support Phase 5,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2021-04-06,2022-06-06,37629655
296,1,362,Malaria Prevention Phase 5,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2020-09-25,2022-06-25,3634019
297,18,127,Malaria Prevention Phase 5,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2018-05-24,2020-02-24,56129380
298,20,398,Malaria Prevention Phase 5,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-11-11,2022-04-11,43741863
299,8,136,Disability Support Services Phase 5,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-11-09,2023-01-09,70256841
300,5,88,Climate Change Adaptation Phase 6,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2018-02-07,2021-07-07,46313827
