event_id,project_id,name,event_date,location,description
297,136,Family Planning Seminar,2022-01-07,"NGO Office, Taraz","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
298,185,Entrepreneurship Workshop,2020-04-01,"Cultural Center, Taraz","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
299,187,Entrepreneurship Workshop,2020-10-03,"Public Park, Petropavl","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
300,271,Renewable Energy Exhibition,2024-03-06,"NGO Office, Taraz","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
301,141,Legal Aid Clinic,2024-01-17,"Community Center, Astana","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
302,9,Cooking Class,2024-03-09,"Sports Complex, Taraz","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
303,48,Youth Leadership Summit,2022-01-24,"City Hall, Kyzylorda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
304,274,Children's Day Celebration,2023-11-15,"City Hall, Astana","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
305,203,First Aid Training,2022-07-06,"Convention Center, Karaganda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
306,70,Cultural Festival,2023-10-02,"Town Square, Almaty","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
307,274,Disaster Preparedness Drill,2020-05-11,"University Auditorium, Taraz","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
308,48,Voter Registration Drive,2024-01-02,"Public Park, Aktobe","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
309,13,Agricultural Training,2021-06-25,"Public Park, Oskemen","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
310,200,Legal Aid Clinic,2020-07-12,"Convention Center, Aktobe","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
311,67,Medical Screening Camp,2022-10-08,"NGO Office, Astana","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
312,37,Anti-Trafficking Campaign,2022-08-20,"Conference Hall, Semey","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
313,265,Disaster Preparedness Drill,2024-01-28,"Public Park, Semey","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
314,48,Agricultural Training,2022-06-03,"Community Center, Kyzylorda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
315,96,Educational Seminar,2020-03-14,"Town Square, Shymkent","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
316,100,Financial Literacy Seminar,2022-06-22,"Cultural Center, Taraz","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
317,16,Volunteer Orientation,2020-02-04,"Cultural Center, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
318,277,Book Donation Drive,2024-12-25,"Public Park, Kostanay","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
319,200,Anti-Trafficking Campaign,2021-06-23,"Public Park, Karaganda","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
320,241,Technology Workshop,2021-01-26,"City Hall, Aktau","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
321,90,Food Distribution,2023-10-16,"University Auditorium, Aktau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
322,224,Tree Planting Campaign,2020-03-21,"NGO Office, Semey","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
323,216,Voter Registration Drive,2023-10-25,"Town Square, Pavlodar","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
324,102,Food Distribution,2020-04-28,"City Hall, Karaganda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
325,149,Community Health Fair,2020-09-02,"Town Square, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
326,137,Senior Citizens Social,2023-03-12,"Community Center, Taraz","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
327,283,Cooking Class,2024-11-12,"University Auditorium, Kyzylorda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
328,89,Medical Screening Camp,2023-05-19,"Sports Complex, Semey","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
329,134,Environmental Clean-Up,2024-01-08,"Sports Complex, Astana","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
330,120,Tree Planting Campaign,2022-09-05,"Public Park, Pavlodar","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
331,292,Volunteer Orientation,2022-02-24,"Public Park, Aktobe","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
332,10,Environmental Clean-Up,2024-09-23,"Public Park, Atyrau","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
333,279,Book Donation Drive,2022-06-23,"NGO Office, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
334,54,First Aid Training,2024-11-16,"City Hall, Almaty","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
335,237,Sports Tournament,2023-07-01,"City Hall, Astana","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
336,253,Medical Screening Camp,2022-04-16,"University Auditorium, Oskemen","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
337,82,School Supply Distribution,2022-09-14,"Town Square, Semey","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
338,45,Medical Screening Camp,2024-12-05,"City Hall, Almaty","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
339,269,Career Fair,2021-07-27,"NGO Office, Kostanay","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
340,44,Fundraising Gala,2021-12-24,"Public Park, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
341,141,Scholarship Award Ceremony,2022-01-02,"University Auditorium, Karaganda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
342,297,Environmental Film Screening,2024-12-21,"City Hall, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
343,250,Public Health Lecture,2024-05-15,"City Hall, Shymkent","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
344,256,Environmental Film Screening,2021-05-26,"Conference Hall, Oskemen","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
345,172,Environmental Film Screening,2021-07-03,"City Hall, Kyzylorda","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
346,98,Anti-Trafficking Campaign,2024-05-16,"University Auditorium, Taraz","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
347,58,Disaster Preparedness Drill,2024-05-12,"University Auditorium, Karaganda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
348,222,Women's Empowerment Conference,2021-06-03,"NGO Office, Semey","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
349,62,Medical Screening Camp,2023-02-07,"Sports Complex, Kostanay","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
350,153,Environmental Film Screening,2023-05-11,"Conference Hall, Oral","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
351,184,Town Hall Meeting,2020-09-01,"Public Park, Aktobe","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
352,14,Environmental Clean-Up,2022-05-03,"University Auditorium, Pavlodar","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
353,113,Medical Screening Camp,2020-04-11,"NGO Office, Aktau","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
354,206,Renewable Energy Exhibition,2023-10-08,"Cultural Center, Almaty","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
355,255,Financial Literacy Seminar,2021-06-07,"Public Park, Kostanay","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
356,26,Women's Empowerment Conference,2023-10-03,"City Hall, Astana","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
357,293,Legal Aid Clinic,2024-01-13,"Convention Center, Aktobe","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
358,172,Public Health Lecture,2022-11-15,"Community Center, Karaganda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
359,218,Disaster Preparedness Drill,2021-03-24,"Public Park, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
360,11,School Supply Distribution,2020-07-19,"Community Center, Karaganda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
361,193,Town Hall Meeting,2020-04-26,"Cultural Center, Semey","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
362,113,First Aid Training,2021-04-25,"Convention Center, Kostanay","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
363,138,Agricultural Training,2022-03-04,"Community Center, Oral","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
364,165,Blood Donation Drive,2022-08-23,"Public Park, Taraz","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
365,13,Tree Planting Campaign,2022-12-02,"Cultural Center, Almaty","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
366,76,First Aid Training,2021-05-16,"Conference Hall, Oral","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
367,300,Blood Donation Drive,2021-03-02,"Public Park, Shymkent","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
368,96,Cooking Class,2021-06-16,"City Hall, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
369,179,Cooking Class,2024-09-11,"Community Center, Semey","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
370,258,Skills Training Session,2023-06-21,"Conference Hall, Oral","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
371,13,Educational Seminar,2020-09-16,"University Auditorium, Petropavl","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
372,221,Educational Seminar,2023-02-03,"NGO Office, Kyzylorda","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
373,18,Renewable Energy Exhibition,2021-11-09,"Sports Complex, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
374,9,Environmental Film Screening,2023-07-05,"Community Center, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
375,118,Scholarship Award Ceremony,2024-11-27,"City Hall, Aktau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
376,153,Community Health Fair,2024-01-18,"Convention Center, Atyrau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
377,45,Scholarship Award Ceremony,2020-09-24,"Conference Hall, Aktobe","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
378,68,Volunteer Orientation,2020-01-14,"Cultural Center, Taraz","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
379,182,Scholarship Award Ceremony,2021-07-04,"Convention Center, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
380,90,Family Planning Seminar,2024-04-06,"Sports Complex, Oral","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
381,200,Cultural Festival,2022-05-22,"Conference Hall, Kyzylorda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
382,21,Environmental Film Screening,2020-07-13,"Cultural Center, Shymkent","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
383,248,Fundraising Gala,2021-11-11,"City Hall, Kyzylorda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
384,273,Skills Training Session,2024-05-14,"Public Park, Astana","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
385,109,Tree Planting Campaign,2020-11-22,"NGO Office, Almaty","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
386,226,Charity Concert,2021-09-16,"Community Center, Oskemen","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
387,277,School Supply Distribution,2023-07-09,"Conference Hall, Aktobe","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
388,86,Art Exhibition,2022-07-28,"University Auditorium, Petropavl","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
389,159,Technology Workshop,2023-01-18,"Town Square, Oral","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
390,111,Charity Concert,2024-07-24,"Convention Center, Petropavl","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
391,213,Educational Seminar,2024-05-22,"NGO Office, Almaty","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
392,18,Emergency Response Training,2020-11-09,"Cultural Center, Pavlodar","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
393,17,Charity Concert,2020-06-26,"NGO Office, Astana","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
394,192,Skills Training Session,2020-08-09,"Cultural Center, Taraz","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
395,112,Agricultural Training,2020-09-28,"City Hall, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
396,253,Mental Health Workshop,2022-11-09,"Sports Complex, Oral","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
397,213,Voter Registration Drive,2022-11-01,"University Auditorium, Almaty","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
398,288,Children's Day Celebration,2024-08-04,"Convention Center, Astana","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
399,32,Scholarship Award Ceremony,2021-07-12,"Sports Complex, Semey","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
400,91,Fundraising Gala,2022-08-08,"NGO Office, Oral","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
401,158,Food Distribution,2022-09-27,"Town Square, Almaty","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
402,82,Mental Health Workshop,2022-03-14,"Cultural Center, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
403,16,Skills Training Session,2021-01-02,"Town Square, Petropavl","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
404,12,Charity Concert,2021-11-17,"Town Square, Pavlodar","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
405,33,Blood Donation Drive,2024-06-10,"Public Park, Shymkent","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
406,42,School Supply Distribution,2022-11-13,"NGO Office, Taraz","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
407,298,Charity Concert,2024-05-13,"Town Square, Semey","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
408,74,Community Health Fair,2023-09-18,"Convention Center, Kostanay","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
409,74,Tree Planting Campaign,2024-09-16,"Community Center, Aktobe","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
410,54,School Supply Distribution,2021-10-14,"Sports Complex, Oral","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
411,145,Volunteer Orientation,2024-02-14,"City Hall, Pavlodar","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
412,262,Anti-Trafficking Campaign,2020-02-08,"NGO Office, Petropavl","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
413,9,First Aid Training,2020-03-27,"Cultural Center, Shymkent","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
414,148,Renewable Energy Exhibition,2022-09-15,"Town Square, Petropavl","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
415,246,Emergency Response Training,2021-02-07,"Sports Complex, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
416,91,Women's Empowerment Conference,2020-04-25,"NGO Office, Kostanay","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
417,144,Environmental Clean-Up,2024-09-17,"City Hall, Kostanay","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
418,50,Agricultural Training,2020-12-07,"University Auditorium, Aktobe","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
419,196,Cooking Class,2023-01-24,"NGO Office, Shymkent","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
420,9,Career Fair,2021-01-06,"Conference Hall, Oskemen","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
421,52,Educational Seminar,2023-10-20,"Conference Hall, Pavlodar","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
422,243,Agricultural Training,2020-06-01,"Community Center, Pavlodar","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
423,282,Book Donation Drive,2024-06-21,"Cultural Center, Oskemen","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
424,119,Food Distribution,2023-05-05,"Public Park, Oral","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
425,264,Children's Day Celebration,2021-02-20,"Community Center, Almaty","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
426,93,Educational Seminar,2022-12-09,"Convention Center, Shymkent","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
427,83,Environmental Clean-Up,2021-05-25,"Public Park, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
428,275,Disaster Preparedness Drill,2023-01-06,"Conference Hall, Petropavl","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
429,288,Cultural Festival,2021-02-01,"Conference Hall, Oskemen","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
430,228,Anti-Trafficking Campaign,2023-10-15,"Public Park, Almaty","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
431,121,Cooking Class,2020-07-04,"City Hall, Taraz","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
432,27,Agricultural Training,2023-06-10,"Community Center, Petropavl","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
433,112,Volunteer Orientation,2024-12-23,"Sports Complex, Pavlodar","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
434,51,Disaster Preparedness Drill,2024-05-25,"Convention Center, Karaganda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
435,223,Women's Empowerment Conference,2022-09-26,"Community Center, Kyzylorda","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
436,232,Renewable Energy Exhibition,2020-04-07,"NGO Office, Aktau","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
437,58,Environmental Clean-Up,2022-05-01,"Public Park, Atyrau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
438,22,Book Donation Drive,2024-04-19,"Conference Hall, Shymkent","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
439,201,Women's Empowerment Conference,2021-10-18,"NGO Office, Karaganda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
440,171,Vaccination Campaign,2022-08-02,"Town Square, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
441,48,Agricultural Training,2020-06-06,"City Hall, Almaty","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
442,116,Art Exhibition,2022-11-17,"Sports Complex, Karaganda","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
443,220,Public Health Lecture,2024-03-04,"Public Park, Oral","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
444,277,Community Health Fair,2024-02-09,"Town Square, Taraz","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
445,180,Public Health Lecture,2020-05-04,"City Hall, Atyrau","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
446,99,Scholarship Award Ceremony,2021-11-05,"Conference Hall, Aktau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
447,150,Voter Registration Drive,2024-08-21,"City Hall, Pavlodar","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
448,290,Charity Concert,2020-11-03,"Cultural Center, Kostanay","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
449,200,Environmental Clean-Up,2024-09-11,"Town Square, Kostanay","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
450,17,Public Health Lecture,2022-11-16,"NGO Office, Kostanay","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
451,57,Youth Leadership Summit,2023-06-04,"Town Square, Karaganda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
452,133,Blood Donation Drive,2024-06-02,"Public Park, Oskemen","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
453,24,Vaccination Campaign,2023-09-11,"Community Center, Oral","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
454,28,Children's Day Celebration,2020-10-17,"Public Park, Aktau","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
455,229,Book Donation Drive,2022-01-03,"Cultural Center, Oral","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
456,130,Voter Registration Drive,2022-12-01,"Conference Hall, Aktau","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
457,214,Art Exhibition,2022-11-25,"Conference Hall, Karaganda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
458,230,Community Health Fair,2022-09-20,"City Hall, Petropavl","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
459,194,Public Health Lecture,2024-03-05,"City Hall, Oral","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
460,247,Anti-Trafficking Campaign,2022-05-10,"Community Center, Kyzylorda","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
461,250,Volunteer Orientation,2021-12-22,"City Hall, Taraz","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
462,86,Cultural Festival,2023-01-16,"Sports Complex, Atyrau","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
463,253,Town Hall Meeting,2024-10-24,"City Hall, Astana","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
464,221,Entrepreneurship Workshop,2023-04-02,"City Hall, Shymkent","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
465,211,Environmental Clean-Up,2020-10-23,"University Auditorium, Atyrau","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
466,297,Environmental Clean-Up,2022-05-26,"Community Center, Oskemen","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
467,163,First Aid Training,2021-04-16,"Cultural Center, Aktobe","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
468,161,School Supply Distribution,2020-04-01,"Conference Hall, Pavlodar","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
469,78,Fundraising Gala,2020-01-24,"Town Square, Kyzylorda","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
470,275,Skills Training Session,2020-12-28,"Cultural Center, Aktau","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
471,202,Vaccination Campaign,2021-07-05,"City Hall, Almaty","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
472,174,Blood Donation Drive,2024-04-06,"Town Square, Atyrau","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
473,278,Senior Citizens Social,2021-09-13,"Sports Complex, Oskemen","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
474,241,Agricultural Training,2022-11-10,"University Auditorium, Petropavl","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
475,21,Environmental Clean-Up,2024-08-20,"Community Center, Aktau","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
476,137,Environmental Film Screening,2020-07-05,"Town Square, Pavlodar","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
477,294,Renewable Energy Exhibition,2021-02-14,"Community Center, Semey","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
478,114,Tree Planting Campaign,2023-08-04,"Sports Complex, Oskemen","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
479,154,Mental Health Workshop,2024-11-25,"Cultural Center, Aktau","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
480,191,First Aid Training,2020-11-25,"Community Center, Semey","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
481,92,Entrepreneurship Workshop,2020-06-16,"Community Center, Kyzylorda","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
482,239,Senior Citizens Social,2023-07-22,"Public Park, Kostanay","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
483,127,Skills Training Session,2024-01-10,"Conference Hall, Petropavl","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
484,179,Cultural Festival,2020-09-07,"Town Square, Aktobe","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
485,73,Book Donation Drive,2023-08-05,"Town Square, Petropavl","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
486,276,Entrepreneurship Workshop,2024-04-14,"Cultural Center, Aktau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
487,224,Town Hall Meeting,2022-05-16,"University Auditorium, Aktobe","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
488,73,Community Health Fair,2023-12-28,"Sports Complex, Aktobe","An educational forum providing information, facilitating discussion, and promoting evidence-based practices."
489,190,Environmental Film Screening,2021-01-18,"Conference Hall, Aktobe","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
490,129,Art Exhibition,2020-07-28,"Cultural Center, Pavlodar","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
491,218,Blood Donation Drive,2023-04-10,"Public Park, Oral","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
492,92,Blood Donation Drive,2022-11-04,"Community Center, Astana","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
493,270,Women's Empowerment Conference,2021-06-17,"Convention Center, Shymkent","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
494,255,First Aid Training,2021-06-07,"Sports Complex, Oskemen","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
495,58,Fundraising Gala,2023-10-22,"City Hall, Kostanay","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
496,257,Art Exhibition,2020-01-02,"Community Center, Oral","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
497,286,School Supply Distribution,2024-04-23,"NGO Office, Aktau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
498,282,Family Planning Seminar,2022-11-02,"Conference Hall, Semey","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
499,61,Charity Concert,2023-12-14,"Public Park, Oral","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
500,32,Disaster Preparedness Drill,2023-09-05,"NGO Office, Kostanay","A community gathering to raise awareness, provide services, and engage stakeholders in meaningful dialogue about project goals."
501,149,Family Planning Seminar,2020-07-24,"Cultural Center, Aktau","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
502,138,Disaster Preparedness Drill,2020-08-26,"Sports Complex, Semey","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
